Word,Total,monthValue
american,1103,5:6:10:9:28:25:15:19:22:11:13:8:15:15:16:10:19:13:17:16:8:26:18:3:13:6:8:14:4:13:19:20:12:8:17:18:15:14:25:25:26:11:7:15:19:25:19:10:11:11:17:16:13:11:4:18:10:13:6:12:15:17:23:15:8:12:10:3:12:8:4:1:5:4:2:1:6:8:8:8:4:5::2:2:4:6:4:5:3:2:2:1:3:3:4::5:4:1:1:1::1:2:1:4:1:2:2:1::1::::1:1:::::1::1
british,1013,3:2:13:7:11:13:8:14:34:12:14:13:9:10:11:10:11:17:9:13:10:27:16:15:15:8:7:5:19:8:16:10:13:8:9:5:15:10:8:12:11:10:7:18:11:8:7:4:7:13:14:20:10:7:7:8:10:17:17:11:21:13:26:9:11:14:14:9:7:6:8:4:5:9:2:4:17:7:7:8:9:3:2:2:2:4:6:3::1:2:5:3:4:5:2:2:2:5:8:4:5::2:2:3:3:3:4:5:1:1:1:4:2:2:2:2:1:1::2:2:2:1
australian,814,2:1:9:5:11:20:6:3:11:11:12:12:32:30:33:25:35:18:44:38:13:15:4:5:10:5:6:4:9:7:5:4:8:15:19:13:10:6:7:8:12:3:5:14:2:2:2:2:5:9:5:4:6:1::2:2:4:3:2:8:6:2::4:3:1:4:6:2:6:2::4:3:4:1:5:2:1::2:1:2::1:1:1:10:3:7:8:5:7:17:::12:3:1:4:4:4::1::6:2:2:5:4::2::3:7:2:2:1:1:1:1::1
french,487,1:1:1:4:6:13:8:5:8:8:3:2:6:3:4:7:9:3:10:9:12:8:5:9:7:6:7:3:13:10:8:7:4:4:6:3:7:9:3:8:5:9:5:5:9:4:5:2:3:6:6:9:4:3:6:10:3:4:5:9:10:5:9:1:4:2:4:4:2:3:3:2::3::1:7:10:6:2:1:1::::2::1:1:4::3::1:2::1:1:1:4:2:1::2::1:::3:::1:1:::2::::::3:4:2:2
chinese,419,5:4:13:4:14:19:5::3:3:5:3:9:4:4:4:4:7:6:1:5:11:3:3:8:1:2:4:4:2:8:4:7:1:5:12:8:5:5:3:11:13:5:3:6:6:4:3:3:6:7:3:2:2:1:4:4:2:3:3:7:8:8:4:3:3:1:2:2:2::1::4:1::2:2:1:3:2:3::1:1:1:1::1:4:1:3:6:3:7:2::2:1::1::3:::2:2:::1::1:2:::3:::1:1
german,377,1:3:2:5:4:10:2:1:5:6:11:3:5:7:8:6:2:5:3:10:7:9:6:4:5:3:2::8:7:3:10:6:1:5:4:5:11:3:11:3:3:7:3:8:5:4:1:3:5:4:5:6:1:3:3::4:3:2:7:2:4:4:3:5:3:1:4:2:1:3::1:::1:2:4:2:1:2::::2:1:2:2:2:2::2:3:1::1:::7:1:::::3:1::1:2::::1:1:3:1:1:::::2:1
iraqi,374,2:1:11:6:5:16:6:8:10:7:9:15:8:11:9:9:13:14:11:7:7:6:3:2:5:8:11:3:7:9:10:4:3:5:3:7:2:3:3:6:9:4:3:2:3:2:1:3::4::1:1:4::2:1:2:2:2:3:5:6:1:3:2:3:2:2:1:1:2:2::1:::1::::::::1::1:1:::::1::::::::::::::::::::::::2:2
european,373,2:2:8:7:10:13:12:5:3::3:1:2:8:9:6:5:1:5:5:6:7:3:2:6:4:5:1:10::4:6:3:4:8:3:5:5:6:15:7:4:3:5:1:2:4:2:2:3:1:4:3:2:4:1:1:1:1:1:9:5:7:3:2:6:4:3:4:3:2:3::1::2:2:4:4:3:2:1:::2:1:1::1:1:3::2:1:3::::3:1:1:::1:1:3:1:4::::1:1:::4::1:1:::2::1
americans,370,1:1:2::6:11::6:7:4:3:2:6:6:5:8:8:11:3:8:3:4:9:3:3:4:4:2:2:1:4:5:4:1:4:7:7:3:9:13:12:6:2:3:2:4:6:6:3:2:5:4:5:2:2::4:1:2:6:3:4:8:7:1:5:::3:2:1:1:1:2:1:2:3:1:5:4:1:2::1:1:6:1:1:2:1:3:3:1:1:3:2:3:3:1::1:::1:1:2:1::1:1:1::1:::::2:::::1
english,353,2:1:1:5:4:11:5:5:8:2:7:1:1:7:3:2:3:4:10:9:8:7:5:6:10:3:4:3:7:4:7:5:1:4:8:10:9:5:4:7:6:6:3:3:2:1:2:2:2:4:3:4:3::1:4:2:4:3:5:6:2:5:1:1:1:3:4:2::3:2:1::1:1:3::3:3:1:1:::1::4:1:2:4::2:1::2:1:3:::2::1:1::2:1:1::1:1:1::2:3:::::1:::::1:2
