Word,Total,Latitude,Longitude
australia,1035,35.6181456,-105.2431709
iraq,772,-25.274398,133.775136
united kingdom,758,33.223191,43.679291
china,681,55.378051,-3.435973
canada,653,35.86166,104.195397
uk,617,56.130366,-106.346771
france,611,55.378051,-3.435973
london,609,46.227638,2.213749
russia,533,51.5073509,-0.1277583
europe,522,61.52401,105.318756
germany,521,51.165691,10.451526
england,491,52.3555177,-1.1743197
afghanistan,481,33.93911,67.709953
israel,474,31.046051,34.851612
washington,470,38.9071923,-77.0368707
new york,463,40.7127837,-74.0059413
japan,456,36.204824,138.252924
iran,451,32.427908,53.688046
california,428,36.778261,-119.4179324
india,411,20.593684,78.96288
america,406,37.09024,-95.712891
new zealand,383,-40.900557,174.885971
white house,383,38.8976763,-77.0365298
britain,366,51.5073509,-0.1277583
pakistan,335,30.375321,69.345116
spain,317,40.463667,-3.74922
italy,301,41.87194,12.56738
florida,270,27.6648274,-81.5157535
brazil,241,-14.235004,-51.92528
